index,wave_height
test_50000,0
test_50001,0
test_50002,0
test_50003,0
test_50004,0
test_50005,0
test_50006,0
test_50007,0
test_50008,0
test_50009,0
test_50010,0
test_50011,0
test_50012,0
test_50013,0
test_50014,0
test_50015,0
test_50016,0
test_50017,0
test_50018,0
test_50019,0
test_50020,0
test_50021,0
test_50022,0
test_50023,0
test_50024,0
test_50025,0
test_50026,0
test_50027,0
test_50028,0
test_50029,0
test_50030,0
test_50031,0
test_50032,0
test_50033,0
test_50034,0
test_50035,0
test_50036,0
test_50037,0
test_50038,0
test_50039,0
test_50040,0
test_50041,0
test_50042,0
test_50043,0
test_50044,0
test_50045,0
test_50046,0
test_50047,0
test_50048,0
test_50049,0
test_50050,0
test_50051,0
test_50052,0
test_50053,0
test_50054,0
test_50055,0
test_50056,0
test_50057,0
test_50058,0
test_50059,0
test_50060,0
test_50061,0
test_50062,0
test_50063,0
test_50064,0
test_50065,0
test_50066,0
test_50067,0
test_50068,0
test_50069,0
test_50070,0
test_50071,0
test_50072,0
test_50073,0
test_50074,0
test_50075,0
test_50076,0
test_50077,0
test_50078,0
test_50079,0
test_50080,0
test_50081,0
test_50082,0
test_50083,0
test_50084,0
test_50085,0
test_50086,0
test_50087,0
test_50088,0
test_50089,0
test_50090,0
test_50091,0
test_50092,0
test_50093,0
test_50094,0
test_50095,0
test_50096,0
test_50097,0
test_50098,0
test_50099,0
test_50100,0
test_50101,0
test_50102,0
test_50103,0
test_50104,0
test_50105,0
test_50106,0
test_50107,0
test_50108,0
test_50109,0
test_50110,0
test_50111,0
test_50112,0
test_50113,0
test_50114,0
test_50115,0
test_50116,0
test_50117,0
test_50118,0
test_50119,0
test_50120,0
test_50121,0
test_50122,0
test_50123,0
test_50124,0
test_50125,0
test_50126,0
test_50127,0
test_50128,0
test_50129,0
test_50130,0
test_50131,0
test_50132,0
test_50133,0
test_50134,0
test_50135,0
test_50136,0
test_50137,0
test_50138,0
test_50139,0
test_50140,0
test_50141,0
test_50142,0
test_50143,0
test_50144,0
test_50145,0
test_50146,0
test_50147,0
test_50148,0
test_50149,0
test_50150,0
test_50151,0
test_50152,0
test_50153,0
test_50154,0
test_50155,0
test_50156,0
test_50157,0
test_50158,0
test_50159,0
test_50160,0
test_50161,0
test_50162,0
test_50163,0
test_50164,0
test_50165,0
test_50166,0
test_50167,0
